codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
M-LEH2412050,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.900,00","0,00","10,00",Encerrado,23/08/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412040,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"4.100,00","70,00","10,00",Encerrado,08/10/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412035,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.833,56","0,00","10,00",Encerrado,04/03/2022,30,,,sistema,Smart,Sim,Ṇo
PH25072666NTOD,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.850,00","70,00","10,00",Pausado,30/07/2025,30,,,sistema,Smart,Nao,Sim
PH25062431NGOD/A,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.650,00","100,00","10,00",Pausado,20/06/2025,30,,,sistema,Smart,Nao,Sim
PH25062380NGOD/A-R,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.300,00","70,00","10,00",Pausado,20/06/2025,30,,,sistema,Smart,Nao,Sim
PH2504836NAOD/A-R,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.900,00","70,00","10,00",Pausado,15/04/2025,30,,,sistema,Smart,Nao,Sim
SJ2503579AD-R,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.000,00","70,00","10,00",Pausado,21/03/2025,30,,,sistema,Smart,Nao,Sim
M-LEH2502447F,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"15.000,00","100,00","10,00",Pausado,10/03/2025,30,,,sistema,Smart,Sim,Ṇo
PH2502375NAOD/A,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"5.250,00","70,00","10,00",Pausado,27/02/2025,30,,,sistema,Smart,Nao,Sim
FL2502332TD,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.700,00","100,00","10,00",Pausado,20/02/2025,30,,,sistema,Smart,Nao,Sim
PH2502287NTOD-R,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"4.100,00","60,00","10,00",Pausado,10/02/2025,30,,,sistema,Smart,Nao,Sim
M-PH2501079,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"4.000,00","100,00","10,00",Pausado,17/01/2025,30,,,sistema,Smart,Nao,Ṇo
M-LEH2412114,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.759,66","0,00","10,00",Pausado,30/10/2020,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412108,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.000,00","0,00","10,00",Pausado,21/02/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412107,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.431,74","0,00","10,00",Pausado,01/07/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412097,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"4.238,64","44,00","10,00",Pausado,07/11/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412090,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.913,85","0,00","10,00",Pausado,20/12/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412087,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.700,00","0,00","10,00",Pausado,04/04/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412083,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.500,00","0,00","10,00",Pausado,21/09/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412081,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.035,66","0,00","10,00",Pausado,05/02/2020,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412080,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.950,00","0,00","10,00",Pausado,16/01/2020,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412079,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.000,00","0,00","10,00",Pausado,08/12/2022,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412073,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.598,25","0,00","10,00",Pausado,04/05/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412072,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"7.838,93","0,00","10,00",Pausado,01/10/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412070,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"4.300,00","0,00","10,00",Pausado,05/01/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412068,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.644,33","0,00","10,00",Pausado,02/07/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412066,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.657,49","0,00","10,00",Pausado,11/05/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412064,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.000,00","0,00","10,00",Pausado,29/05/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412062,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.100,00","0,00","10,00",Pausado,25/04/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412053,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.500,00","0,00","10,00",Pausado,01/02/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412049,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.500,00","0,00","10,00",Pausado,23/05/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412048,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.800,00","0,00","10,00",Pausado,02/04/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412046,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.229,43","0,00","10,00",Pausado,16/09/2022,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412045,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.000,00","0,00","10,00",Pausado,16/09/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412044,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.868,24","0,00","10,00",Pausado,14/02/2022,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412041,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"4.000,00","0,00","10,00",Pausado,01/10/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412038,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.950,00","0,00","10,00",Pausado,06/10/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412037,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.723,72","0,00","10,00",Pausado,16/01/2018,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412034,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.492,69","0,00","10,00",Pausado,12/09/2022,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412032,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.477,72","0,00","10,00",Pausado,07/08/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412026,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.000,00","0,00","10,00",Pausado,20/12/2022,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412023,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.010,56","0,00","10,00",Pausado,03/08/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412020,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.650,00","0,00","10,00",Pausado,29/12/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412018,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.189,75","0,00","10,00",Pausado,09/12/2020,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412015,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.500,00","100,00","10,00",Pausado,01/12/2024,30,,,sistema,Smart,Sim,Ṇo
