codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
M-AND2411025X,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.110,12","100,00","10,00",Ativo,22/11/2024,30,,,sistema,Smart,Sim,Ṇo
M-AND2410128X,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"900,00","100,00","10,00",Ativo,03/10/2024,12,,,sistema,Smart,Sim,Ṇo
M-AND2410018A,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.000,00","100,00","10,00",Ativo,04/10/2024,12,,,sistema,Smart,Sim,Ṇo
M-AND2409101F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"3.300,00","100,00","10,00",Ativo,25/09/2024,12,,,sistema,Smart,Sim,Ṇo
M-AND2407067F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"956,97","100,00","10,00",Ativo,27/07/2024,24,,,sistema,Smart,Sim,Ṇo
M-AND2404050F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"861,27","100,00","10,00",Ativo,29/04/2024,24,,,sistema,Smart,Sim,Ṇo
M-AND2403051CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.382,29","100,00","10,00",Ativo,13/03/2024,24,,,sistema,Smart,Sim,Ṇo
M-AND2402072CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.020,27","100,00","10,00",Ativo,15/02/2024,24,,,sistema,Smart,Sim,Ṇo
M-AND2401137A,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.100,00","100,00","10,00",Ativo,26/01/2024,24,,,sistema,Smart,Sim,Ṇo
M-AND2307102S,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"3.540,38","100,00","8,00",Ativo,10/07/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2307079F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.178,70","100,00","10,00",Ativo,21/07/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2306039CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.470,63","100,00","10,00",Ativo,30/06/2023,37,,,sistema,Smart,Sim,Ṇo
M-AND2305166NM,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"4.211,06","100,00","10,00",Ativo,26/05/2023,359,,,sistema,Smart,Sim,Ṇo
M-AND2304045F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"956,97","100,00","10,00",Ativo,12/04/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2303165F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.020,27","100,00","10,00",Ativo,08/03/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2303148F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"850,64","100,00","10,00",Ativo,09/03/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2303081C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.169,63","100,00","10,00",Ativo,21/03/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2302133F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.437,58","100,00","10,00",Ativo,01/02/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2302115CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.245,72","100,00","10,00",Ativo,10/02/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2301121CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.271,71","100,00","10,00",Ativo,09/01/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2301046EA,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"832,00","100,00","10,00",Ativo,04/01/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2301036F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.429,08","100,00","10,00",Ativo,03/01/2023,36,,,sistema,Smart,Sim,Ṇo
M-AND2212083F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.010,14","100,00","10,00",Ativo,20/12/2022,36,,,sistema,Smart,Sim,Ṇo
M-AND2208024F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.097,44","100,00","10,00",Ativo,19/08/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2208006OF,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.207,84","100,00","10,00",Ativo,15/08/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2207107CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.634,03","100,00","10,00",Ativo,29/07/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2207034F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"898,71","100,00","10,00",Ativo,12/07/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2206127F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"740,76","100,00","10,00",Ativo,03/06/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2205129F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.203,08","100,00","10,00",Ativo,23/05/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2204089F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.871,41","100,00","10,00",Ativo,23/04/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2204087C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.382,29","100,00","10,00",Ativo,20/04/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2204085F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"4.808,16","100,00","10,00",Ativo,26/04/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2202152F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"750,59","100,00","10,00",Ativo,04/02/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2202092F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"750,59","100,00","10,00",Ativo,04/02/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2202008C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"531,65","100,00","10,00",Ativo,25/02/2022,48,,,sistema,Smart,Sim,Ṇo
M-AND2110098CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.493,61","100,00","10,00",Ativo,27/10/2021,48,,,sistema,Smart,Sim,Ṇo
M-AND2109161CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"905,71","100,00","10,00",Ativo,17/09/2021,48,,,sistema,Smart,Sim,Ṇo
M-AND2109096C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.324,17","100,00","10,00",Ativo,03/09/2021,48,,,sistema,Smart,Sim,Ṇo
M-AND2108020F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"993,53","100,00","10,00",Ativo,12/08/2021,49,,,sistema,Smart,Sim,Ṇo
M-AND2108014CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"551,96","100,00","10,00",Ativo,23/08/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND2108013C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.215,14","100,00","10,00",Ativo,25/08/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND2107163F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.326,51","100,00","10,00",Ativo,09/07/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND2107110CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.050,00","100,00","10,00",Ativo,22/07/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND2104090CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.289,99","100,00","10,00",Ativo,22/04/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND2101002NM,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.646,74","100,00","10,00",Ativo,22/01/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND2011093CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"879,60","100,00","10,00",Ativo,11/11/2020,60,,,sistema,Smart,Sim,Ṇo
M-AND2011088F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"865,83","100,00","10,00",Ativo,12/11/2020,60,,,sistema,Smart,Sim,Ṇo
M-AND2011086F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"857,14","100,00","10,00",Ativo,13/11/2020,60,,,sistema,Smart,Sim,Ṇo
M-AND2009122F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.234,02","100,00","10,00",Ativo,10/09/2020,60,,,sistema,Smart,Sim,Ṇo
M-AND2008016F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.556,52","100,00","10,00",Ativo,21/08/2020,72,,,sistema,Smart,Sim,Ṇo
M-AND2005136C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"740,00","100,00","10,00",Ativo,06/05/2020,72,,,sistema,Smart,Sim,Ṇo
M-AND2004140F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"606,08","100,00","10,00",Ativo,08/04/2020,72,,,sistema,Smart,Sim,Ṇo
M-AND1909123NM,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.931,12","100,00","10,00",Ativo,27/09/2019,72,,,sistema,Smart,Sim,Ṇo
M-AND1907164F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"6.721,26","100,00","10,00",Ativo,29/07/2019,84,,,sistema,Smart,Sim,Ṇo
M-AND1806113C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.871,40","100,00","10,00",Ativo,11/06/2018,96,,,sistema,Smart,Sim,Ṇo
M-AND1806094C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.567,70","100,00","10,00",Ativo,22/06/2018,97,,,sistema,Smart,Sim,Ṇo
M-AND1602109F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.038,10","100,00","10,00",Ativo,26/02/2016,114,,,sistema,Smart,Sim,Ṇo
M-AND2508038F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.300,00","100,00","10,00",Ativo,13/08/2025,12,,,sistema,Smart,Sim,Ṇo
M-AND2103003CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.770,38","100,00","10,00",Ativo,12/03/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND2102151F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"859,24","100,00","10,00",Ativo,19/02/2021,60,,,sistema,Smart,Sim,Ṇo
M-AND1901091C,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"4.092,95","100,00","10,00",Ativo,07/01/2019,96,,,sistema,Smart,Sim,Ṇo
M-AND1412029F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"6.379,80","100,00","10,00",Ativo,31/12/2014,216,,,sistema,Smart,Sim,Ṇo
SIAND260304440AD,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.500,00","100,00","10,00",Ativo,07/03/2026,12,,,sistema,Smart,Nao,Sim
SI26024245AD,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"850,00","30,00","10,00",Ativo,21/02/2026,12,,,sistema,Smart,Nao,Sim
SI26024205NTODM,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.300,00","0,00","10,00",Ativo,13/02/2026,12,,,sistema,Smart,Nao,Sim
NM-SI26024135CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.560,00","100,00","10,00",Ativo,27/01/2026,24,,,sistema,Smart,Sim,Ṇo
NM-SI26014115CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"2.800,00","100,00","10,00",Ativo,28/01/2026,24,,,sistema,Smart,Sim,Ṇo
NM-SI26014089F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.200,00","30,00","10,00",Ativo,23/01/2026,24,,,sistema,Smart,Sim,Ṇo
IDEALI,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"10,00","0,00","0,00",Ativo,26/08/2025,36,,,sistema,Smart,Nao,Tombamento
